latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
31.64847,9.16945,315.79,0.53,0.5,2024-01-01,0142,N20,VIIRS,n,2,279.09,2.2,N,2
31.4929,9.48947,302.32,0.56,0.51,2024-01-01,0142,N20,VIIRS,n,2,276.1,1.23,N,0
31.49524,9.49053,301.88,0.56,0.51,2024-01-01,0142,N20,VIIRS,n,2,276.12,0.77,N,0
33.36728,8.54768,302.58,0.45,0.47,2024-01-01,0142,N20,VIIRS,n,2,277.15,0.8,N,2
31.64812,9.17107,320.8,0.46,0.39,2024-01-02,0124,N20,VIIRS,n,2,278.37,2.44,N,2
31.49449,9.49368,302.95,0.47,0.4,2024-01-02,0124,N20,VIIRS,n,2,271.83,0.96,N,0
31.4942,9.49154,300.2,0.47,0.4,2024-01-02,0124,N20,VIIRS,n,2,271.29,1.2,N,0
36.50275,10.02837,296.6,0.4,0.37,2024-01-03,0103,N20,VIIRS,n,2,279.79,0.39,N,2
36.7764,10.20138,297.17,0.4,0.37,2024-01-03,0103,N20,VIIRS,n,2,281.45,0.49,N,2
33.36476,8.54684,308.95,0.41,0.37,2024-01-03,0104,N20,VIIRS,n,2,278.03,0.68,N,2
31.65046,9.17204,307.67,0.39,0.36,2024-01-03,0105,N20,VIIRS,n,2,279.42,1.22,N,2
36.93407,10.09115,328.87,0.4,0.37,2024-01-03,1224,N20,VIIRS,n,2,290.25,2.07,D,0
36.50442,10.02415,300.54,0.41,0.45,2024-01-04,0044,N20,VIIRS,n,2,280.85,1.08,N,0
35.77696,9.88955,300.36,0.41,0.45,2024-01-04,0045,N20,VIIRS,n,2,282.89,1.06,N,2
33.36478,8.54716,300.52,0.45,0.47,2024-01-04,0045,N20,VIIRS,n,2,277.54,0.85,N,2
31.64775,9.1699,306.41,0.4,0.44,2024-01-04,0046,N20,VIIRS,n,2,278.55,0.91,N,2
31.65181,9.17049,303.2,0.4,0.44,2024-01-04,0046,N20,VIIRS,n,2,278.39,0.91,N,2
32.28997,10.97599,296.44,0.49,0.41,2024-01-04,0046,N20,VIIRS,n,2,277.61,0.56,N,2
31.49369,9.48982,296.8,0.57,0.43,2024-01-04,0046,N20,VIIRS,n,2,276.5,0.56,N,0
34.87574,9.81787,330.1,0.48,0.4,2024-01-04,1205,N20,VIIRS,n,2,297.17,3.27,D,0
36.57825,10.55455,342.91,0.43,0.38,2024-01-04,1205,N20,VIIRS,n,2,292.96,10.02,D,0
36.50443,10.02436,297.26,0.37,0.58,2024-01-05,0026,N20,VIIRS,n,2,277.55,0.77,N,0
33.36605,8.54717,314.39,0.43,0.62,2024-01-05,0026,N20,VIIRS,n,2,276.56,1.3,N,2
33.36821,8.5478,309.74,0.43,0.62,2024-01-05,0026,N20,VIIRS,n,2,277.1,1.34,N,2
31.64851,9.17011,319.66,0.38,0.58,2024-01-05,0027,N20,VIIRS,n,2,280.16,1.35,N,2
31.49435,9.4912,298.77,0.36,0.57,2024-01-05,0027,N20,VIIRS,n,2,276.19,0.46,N,0
36.8231,9.19883,311.54,0.45,0.63,2024-01-05,0206,N20,VIIRS,n,2,280.16,1.48,N,0
36.82539,9.19824,309.77,0.45,0.63,2024-01-05,0206,N20,VIIRS,n,2,279.47,1.41,N,0
31.64624,9.17027,297,0.61,0.71,2024-01-05,0207,N20,VIIRS,n,2,278.04,1.11,N,2
31.65203,9.17027,301.12,0.61,0.71,2024-01-05,0207,N20,VIIRS,n,2,278.13,1.23,N,2
33.36439,8.54741,299.66,0.51,0.66,2024-01-05,0207,N20,VIIRS,n,2,269.25,0.79,N,2
31.65437,9.16874,298.96,0.72,0.76,2024-01-06,0008,N20,VIIRS,n,2,277.22,1.22,N,2
31.65239,9.16631,307.11,0.72,0.76,2024-01-06,0008,N20,VIIRS,n,2,277.95,1.66,N,2
31.49417,9.49094,301.34,0.34,0.56,2024-01-06,0149,N20,VIIRS,n,2,276.37,0.48,N,0
31.49668,9.49198,295.45,0.34,0.56,2024-01-06,0149,N20,VIIRS,n,2,276.21,0.54,N,0
31.6463,9.17011,316.84,0.33,0.55,2024-01-06,0149,N20,VIIRS,n,2,278.81,1.19,N,2
33.36404,8.54957,313.02,0.47,0.4,2024-01-07,0129,N20,VIIRS,n,2,277.66,1.28,N,2
31.65012,9.1718,304.75,0.54,0.42,2024-01-07,0130,N20,VIIRS,n,2,278.4,1.43,N,2
35.77574,9.8887,301.47,0.38,0.36,2024-01-08,0110,N20,VIIRS,n,2,279.48,0.52,N,2
35.4933,11.00767,295.01,0.39,0.36,2024-01-08,0110,N20,VIIRS,n,2,277.61,0.55,N,0
33.36724,8.54918,299.78,0.39,0.36,2024-01-08,0110,N20,VIIRS,n,2,276.2,1.03,N,2
31.65037,9.16964,318.08,0.38,0.36,2024-01-08,0111,N20,VIIRS,n,2,276.37,1.06,N,2
31.64807,9.17015,316.99,0.5,0.41,2024-01-09,0052,N20,VIIRS,n,2,275.8,2.17,N,2
33.3676,8.54606,301.2,0.56,0.43,2024-01-09,0052,N20,VIIRS,n,2,273.99,0.61,N,2
32.28969,10.97587,295.14,0.43,0.38,2024-01-09,0052,N20,VIIRS,n,2,274.42,0.43,N,2
31.49616,9.49437,297.1,0.48,0.4,2024-01-09,0052,N20,VIIRS,n,2,271.84,0.98,N,0
31.49716,9.49086,299.8,0.58,0.52,2024-01-10,0033,N20,VIIRS,n,2,272.83,0.83,N,0
33.36538,8.54556,305.14,0.34,0.56,2024-01-10,0033,N20,VIIRS,n,2,273.44,1.36,N,2
33.36636,8.54558,304.18,0.34,0.56,2024-01-10,0033,N20,VIIRS,n,2,273.66,1.12,N,2
31.64894,9.17195,315.1,0.61,0.53,2024-01-10,0033,N20,VIIRS,n,2,276.21,1.73,N,2
31.65015,9.16838,299.57,0.75,0.77,2024-01-10,0213,N20,VIIRS,n,2,274.21,1.15,N,2
31.64952,9.16742,303.35,0.75,0.77,2024-01-10,0213,N20,VIIRS,n,2,273.73,1.42,N,2
33.36569,8.54607,300.03,0.62,0.71,2024-01-10,0213,N20,VIIRS,n,2,273.72,0.82,N,2
34.60166,10.58053,299.57,0.51,0.66,2024-01-11,0013,N20,VIIRS,n,2,276.3,0.71,N,0
31.65089,9.17016,302.97,0.58,0.7,2024-01-11,0014,N20,VIIRS,n,2,275.05,1.42,N,2
33.36883,8.54254,295.54,0.65,0.73,2024-01-11,0014,N20,VIIRS,n,2,273.3,1.45,N,0
33.36346,8.54835,300.99,0.34,0.56,2024-01-11,0154,N20,VIIRS,n,2,274.47,0.99,N,2
34.59663,10.58413,305.1,0.41,0.6,2024-01-11,0154,N20,VIIRS,n,2,275.85,0.52,N,0
34.59719,10.5835,302.31,0.41,0.6,2024-01-11,0154,N20,VIIRS,n,2,275.84,0.98,N,0
31.64659,9.16849,330.16,0.4,0.6,2024-01-11,0155,N20,VIIRS,n,2,274.71,2.48,N,2
33.36499,8.55025,305.48,0.56,0.43,2024-01-12,0136,N20,VIIRS,n,2,275.82,0.85,N,2
31.64702,9.16868,325.13,0.43,0.46,2024-01-12,0136,N20,VIIRS,n,2,276.56,1.45,N,2
35.77588,9.88966,299.74,0.39,0.37,2024-01-13,0116,N20,VIIRS,n,2,281.74,0.7,N,2
34.59746,10.58401,307.09,0.42,0.37,2024-01-13,0116,N20,VIIRS,n,2,278.52,0.5,N,0
31.64809,9.16993,315.03,0.4,0.37,2024-01-13,0117,N20,VIIRS,n,2,278.13,1.67,N,2
31.49266,9.4929,303.24,0.41,0.37,2024-01-13,0117,N20,VIIRS,n,2,274.19,1.05,N,0
33.36527,8.54964,324.52,0.39,0.36,2024-01-13,0117,N20,VIIRS,n,2,276.85,1.2,N,2
36.50344,10.02629,299.45,0.44,0.39,2024-01-14,0057,N20,VIIRS,n,2,278.45,0.98,N,2
36.15937,10.28539,299.05,0.43,0.38,2024-01-14,0057,N20,VIIRS,n,2,280.68,0.91,N,2
33.36496,8.54689,299.69,0.47,0.4,2024-01-14,0058,N20,VIIRS,n,2,273.5,0.89,N,2
31.49443,9.49254,299.2,0.42,0.38,2024-01-14,0058,N20,VIIRS,n,2,274.12,0.61,N,0
31.65024,9.17251,322.49,0.43,0.38,2024-01-14,0058,N20,VIIRS,n,2,278.38,1.99,N,2
31.64907,9.17107,310.27,0.49,0.49,2024-01-15,0039,N20,VIIRS,n,2,275.08,1.57,N,2
31.65135,9.17264,299.2,0.49,0.49,2024-01-15,0039,N20,VIIRS,n,2,275.21,0.9,N,2
33.36518,8.54945,302.98,0.56,0.51,2024-01-15,0039,N20,VIIRS,n,2,275.96,1.23,N,2
31.65148,9.16851,308.28,0.47,0.64,2024-01-16,0020,N20,VIIRS,n,2,267.87,1.1,N,2
33.36292,8.54642,317.17,0.41,0.61,2024-01-16,0200,N20,VIIRS,n,2,275,1.38,N,0
34.35762,8.82662,335.42,0.57,0.52,2024-01-17,1301,N20,VIIRS,n,2,296.38,3.49,D,0
35.77503,9.89023,302.74,0.43,0.38,2024-01-18,0122,N20,VIIRS,n,2,287.21,0.86,N,2
36.50078,10.02814,302.56,0.43,0.38,2024-01-18,0122,N20,VIIRS,n,2,284.13,0.82,N,2
36.59017,10.31929,302.78,0.44,0.38,2024-01-18,0122,N20,VIIRS,n,2,285.85,1.17,N,2
36.59167,10.31686,300.31,0.43,0.38,2024-01-18,0122,N20,VIIRS,n,2,286.68,0.83,N,2
36.53297,10.82272,295.3,0.45,0.39,2024-01-18,0122,N20,VIIRS,n,2,284.31,0.42,N,0
36.77709,10.20286,295.23,0.43,0.38,2024-01-18,0122,N20,VIIRS,n,2,285.05,0.39,N,2
35.00132,9.48251,295.68,0.43,0.38,2024-01-18,0122,N20,VIIRS,n,2,283.9,0.47,N,0
34.93818,8.52834,295.52,0.4,0.37,2024-01-18,0122,N20,VIIRS,n,2,278.71,0.58,N,0
31.49545,9.49273,295.87,0.47,0.4,2024-01-18,0123,N20,VIIRS,n,2,272.64,0.66,N,0
33.36468,8.54857,313.98,0.41,0.37,2024-01-18,0123,N20,VIIRS,n,2,279.24,1.12,N,2
33.30436,9.23435,305.84,0.44,0.38,2024-01-18,0123,N20,VIIRS,n,2,280.63,0.85,N,0
31.64791,9.16858,318.99,0.45,0.39,2024-01-18,0123,N20,VIIRS,n,2,280.15,1.51,N,2
37.22049,9.29023,334.8,0.54,0.42,2024-01-18,1243,N20,VIIRS,n,2,291.05,3.67,D,0
36.56327,9.24831,335.09,0.53,0.42,2024-01-18,1243,N20,VIIRS,n,2,294.4,5.02,D,0
36.56491,9.24625,330.86,0.53,0.42,2024-01-18,1243,N20,VIIRS,n,2,294.5,4.88,D,0
37.22101,9.2884,325.21,0.54,0.42,2024-01-18,1243,N20,VIIRS,n,2,290.16,5.17,D,0
36.5911,10.31623,297.23,0.4,0.37,2024-01-19,0103,N20,VIIRS,n,2,280.82,0.49,N,2
36.77831,10.1999,297.49,0.4,0.37,2024-01-19,0103,N20,VIIRS,n,2,284.36,0.74,N,2
31.00318,10.06159,306.05,0.38,0.36,2024-01-19,0105,N20,VIIRS,n,2,275,0.8,N,0
31.64739,9.17166,304.47,0.39,0.36,2024-01-19,0105,N20,VIIRS,n,2,280.99,0.88,N,2
31.49491,9.49151,298.62,0.39,0.36,2024-01-19,0105,N20,VIIRS,n,2,274.24,0.35,N,0
31.65072,9.17233,314.76,0.39,0.36,2024-01-19,0105,N20,VIIRS,n,2,281.77,0.88,N,2
35.20501,11.10426,329.25,0.43,0.38,2024-01-20,1204,N20,VIIRS,n,2,293.32,6.97,D,0
35.74905,10.12022,334.26,0.45,0.39,2024-01-20,1205,N20,VIIRS,n,2,288.08,14.41,D,0
35.75256,10.11925,350.51,0.45,0.39,2024-01-20,1205,N20,VIIRS,n,2,290.46,15.96,D,0
34.59792,10.58498,322.38,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,281.15,2.1,N,0
34.60306,10.5856,315.25,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,282.46,1.27,N,0
34.60085,10.58655,321.06,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,282.38,3.08,N,0
34.59817,10.58132,303.3,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,279.97,1.67,N,0
34.60331,10.58193,298.47,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,280.68,0.8,N,0
34.60112,10.58287,332.48,0.33,0.56,2024-01-21,0026,N20,VIIRS,n,2,280.76,3.27,N,0
31.65302,9.16983,303.19,0.38,0.59,2024-01-21,0027,N20,VIIRS,n,2,270.89,0.68,N,2
31.64866,9.1713,301.05,0.61,0.71,2024-01-21,0207,N20,VIIRS,n,2,278.79,1.57,N,2
33.3631,8.54584,295.98,0.51,0.66,2024-01-21,0207,N20,VIIRS,n,2,278.56,0.47,N,0
31.00477,10.05683,308.58,0.64,0.72,2024-01-22,0008,N20,VIIRS,n,2,276.63,1.55,N,0
31.00829,10.05819,304.57,0.64,0.72,2024-01-22,0008,N20,VIIRS,n,2,276.62,1.48,N,0
31.649,9.17074,326.95,0.33,0.55,2024-01-22,0148,N20,VIIRS,n,2,280.99,1.66,N,2
36.50192,10.02823,305.32,0.49,0.4,2024-01-23,0128,N20,VIIRS,n,2,278.8,0.85,N,2
33.36735,8.54738,306.72,0.47,0.4,2024-01-23,0129,N20,VIIRS,n,2,273.12,0.95,N,2
33.36592,8.54998,324.45,0.39,0.36,2024-01-24,0110,N20,VIIRS,n,2,277.63,1.12,N,2
35.03011,9.5755,295.04,0.38,0.36,2024-01-24,0110,N20,VIIRS,n,2,280.59,0.34,N,0
31.64916,9.17046,319.14,0.38,0.36,2024-01-24,0111,N20,VIIRS,n,2,278.47,1.78,N,2
31.00488,10.0624,315.84,0.4,0.37,2024-01-24,0111,N20,VIIRS,n,2,276.6,1.25,N,0
36.84027,10.66702,326.75,0.45,0.39,2024-01-24,1230,N20,VIIRS,n,2,289.47,2.24,D,0
36.84166,10.66909,329.9,0.45,0.39,2024-01-24,1230,N20,VIIRS,n,2,290.24,2.38,D,0
33.80413,8.79519,297.05,0.55,0.43,2024-01-25,0051,N20,VIIRS,n,2,279.57,0.83,N,0
36.50342,10.02849,299.28,0.51,0.41,2024-01-25,0051,N20,VIIRS,n,2,281.35,0.86,N,2
36.72918,10.1047,300.03,0.51,0.41,2024-01-25,0051,N20,VIIRS,n,2,281.24,0.88,N,0
36.15804,10.28392,298.59,0.5,0.41,2024-01-25,0051,N20,VIIRS,n,2,284.62,0.7,N,2
31.00442,10.06292,316.57,0.45,0.39,2024-01-25,0052,N20,VIIRS,n,2,277.66,1.66,N,0
33.36628,8.54978,304.4,0.56,0.43,2024-01-25,0052,N20,VIIRS,n,2,278.52,1.14,N,2
31.6505,9.17126,317.79,0.5,0.41,2024-01-25,0052,N20,VIIRS,n,2,279.57,1.99,N,2
31.49484,9.49477,295.86,0.48,0.4,2024-01-25,0052,N20,VIIRS,n,2,275.88,0.48,N,0
36.50511,10.02298,297.86,0.61,0.53,2024-01-26,0032,N20,VIIRS,n,2,283.92,1.1,N,0
36.50377,10.02342,299.2,0.61,0.53,2024-01-26,0032,N20,VIIRS,n,2,284.35,1.04,N,0
31.0029,10.05854,323.06,0.53,0.5,2024-01-26,0033,N20,VIIRS,n,2,277.6,1.64,N,0
33.36484,8.54612,311.71,0.34,0.56,2024-01-26,0033,N20,VIIRS,n,2,279.51,0.89,N,2
31.65127,9.17077,306.34,0.61,0.53,2024-01-26,0033,N20,VIIRS,n,2,278.91,1.5,N,2
31.00753,10.05916,307.12,0.53,0.5,2024-01-26,0033,N20,VIIRS,n,2,277.04,1.64,N,0
36.58949,10.31514,295.08,0.63,0.72,2024-01-26,0212,N20,VIIRS,n,2,283.86,0.77,N,2
36.58894,10.31653,295.55,0.63,0.72,2024-01-26,0212,N20,VIIRS,n,2,284.45,0.78,N,2
33.36333,8.54566,303.95,0.62,0.71,2024-01-26,0213,N20,VIIRS,n,2,278.42,1.17,N,2
31.6482,9.16668,303.58,0.75,0.77,2024-01-26,0213,N20,VIIRS,n,2,278.09,1.28,N,2
31.64874,9.16769,305.87,0.75,0.77,2024-01-26,0213,N20,VIIRS,n,2,278.09,1.88,N,2
36.4502,8.43705,367,0.79,0.78,2024-01-26,1333,N20,VIIRS,h,2,296.47,27.98,D,0
36.50473,10.02218,297.96,0.57,0.69,2024-01-27,0013,N20,VIIRS,n,2,285.41,0.65,N,0
36.50328,10.02296,298.37,0.57,0.69,2024-01-27,0013,N20,VIIRS,n,2,285.65,0.76,N,2
36.59343,10.31373,295.18,0.55,0.68,2024-01-27,0013,N20,VIIRS,n,2,285.11,0.53,N,2
31.65309,9.1651,311.18,0.58,0.7,2024-01-27,0014,N20,VIIRS,n,2,277.66,1.94,N,0
31.00735,10.05591,296.08,0.51,0.66,2024-01-27,0014,N20,VIIRS,n,2,276.18,1.26,N,0
31.65234,9.17002,306.94,0.58,0.7,2024-01-27,0014,N20,VIIRS,n,2,278.56,2.37,N,2
33.3684,8.5427,304.29,0.65,0.73,2024-01-27,0014,N20,VIIRS,n,2,278.42,2.03,N,0
33.36599,8.54537,304.52,0.65,0.73,2024-01-27,0014,N20,VIIRS,n,2,279.17,1.29,N,2
36.50185,10.02617,307.56,0.34,0.56,2024-01-27,0153,N20,VIIRS,n,2,285.61,0.77,N,2
36.58851,10.31713,299.71,0.35,0.57,2024-01-27,0153,N20,VIIRS,n,2,285.14,0.61,N,2
33.36461,8.54588,308.31,0.34,0.56,2024-01-27,0154,N20,VIIRS,n,2,278.84,0.88,N,2
31.65067,9.16886,310.63,0.4,0.6,2024-01-27,0155,N20,VIIRS,n,2,277.85,1.06,N,2
31.64966,9.1729,299.29,0.4,0.6,2024-01-27,0155,N20,VIIRS,n,2,278.22,1.06,N,2
31.49254,9.49031,303.3,0.42,0.61,2024-01-27,0155,N20,VIIRS,n,2,275.8,0.72,N,0
31.49402,9.49044,298.13,0.42,0.61,2024-01-27,0155,N20,VIIRS,n,2,275.65,0.81,N,0
31.00401,10.05941,305.26,0.47,0.64,2024-01-27,0155,N20,VIIRS,n,2,276.85,1.09,N,0
31.00364,10.06076,312.15,0.47,0.64,2024-01-27,0155,N20,VIIRS,n,2,276.61,1.26,N,0
31.02261,10.0814,353.04,0.5,0.66,2024-01-27,1132,N20,VIIRS,n,2,297.43,5.15,D,0
36.15747,10.28252,298.98,0.4,0.44,2024-01-28,0135,N20,VIIRS,n,2,283.34,0.89,N,2
36.58894,10.31851,299.31,0.39,0.44,2024-01-28,0135,N20,VIIRS,n,2,284.55,1.29,N,2
33.36562,8.5487,303.93,0.56,0.43,2024-01-28,0136,N20,VIIRS,n,2,278.94,1.13,N,2
31.64859,9.17165,327.12,0.43,0.46,2024-01-28,0136,N20,VIIRS,n,2,280.25,1.61,N,2
31.02231,10.07971,336.37,0.5,0.49,2024-01-28,0136,N20,VIIRS,n,2,276.93,5.36,N,0
31.01981,10.0821,342.38,0.5,0.49,2024-01-28,1254,N20,VIIRS,n,2,296.88,5.15,D,0
31.69938,9.24427,339.88,0.45,0.47,2024-01-28,1254,N20,VIIRS,n,2,295.75,1.97,D,2
31.64634,9.17163,337.43,0.45,0.47,2024-01-28,1254,N20,VIIRS,n,2,296.09,2.16,D,2
31.02132,10.079,342.62,0.5,0.49,2024-01-28,1254,N20,VIIRS,n,2,296.35,5.59,D,0
36.50276,10.02609,296.21,0.39,0.36,2024-01-29,0116,N20,VIIRS,n,2,280.68,0.71,N,2
36.58935,10.31763,303.61,0.4,0.37,2024-01-29,0116,N20,VIIRS,n,2,281.75,1.09,N,2
31.6475,9.17051,322.13,0.41,0.37,2024-01-29,0117,N20,VIIRS,n,2,280.9,1.72,N,2
33.36557,8.54643,305.39,0.39,0.36,2024-01-29,0117,N20,VIIRS,n,2,279.3,0.66,N,2
32.29072,10.97236,295.51,0.45,0.39,2024-01-29,0117,N20,VIIRS,n,2,282.16,0.66,N,2
31.48355,9.54135,299.58,0.42,0.37,2024-01-29,0117,N20,VIIRS,n,2,278.47,0.4,N,0
36.50351,10.02788,298.57,0.44,0.39,2024-01-30,0057,N20,VIIRS,n,2,280.16,1.02,N,2
36.35553,10.16806,298.98,0.44,0.38,2024-01-30,0057,N20,VIIRS,n,2,279.53,0.88,N,0
31.64775,9.17017,325.1,0.43,0.38,2024-01-30,0058,N20,VIIRS,n,2,280.53,2.52,N,2
31.49346,9.49304,298.66,0.42,0.38,2024-01-30,0058,N20,VIIRS,n,2,278.46,0.63,N,0
33.92856,10.08213,295.41,0.42,0.38,2024-01-30,0058,N20,VIIRS,n,2,281.85,0.42,N,0
31.38836,10.04169,339.03,0.4,0.37,2024-01-30,1216,N20,VIIRS,n,2,295.29,1.36,D,0
36.41395,10.35818,334.56,0.38,0.36,2024-01-30,1217,N20,VIIRS,n,2,297.03,2.66,D,0
33.36782,8.5448,296.16,0.56,0.51,2024-01-31,0039,N20,VIIRS,n,2,276.7,1.36,N,2
33.36636,8.5504,300.43,0.56,0.51,2024-01-31,0039,N20,VIIRS,n,2,278.1,0.94,N,2
33.46772,8.95712,332.05,0.53,0.5,2024-01-31,0039,N20,VIIRS,n,2,279.05,4.33,N,0
31.64952,9.17012,313.59,0.49,0.49,2024-01-31,0040,N20,VIIRS,n,2,278.83,1.74,N,2
33.46472,8.95918,302.15,0.79,0.78,2024-01-31,0219,N20,VIIRS,n,2,276.72,1.55,N,0
36.16084,10.28208,298.54,0.44,0.63,2024-02-01,0019,N20,VIIRS,n,2,280.9,0.87,N,2
36.16122,10.28213,298.36,0.44,0.63,2024-02-01,0019,N20,VIIRS,n,2,281.05,0.58,N,2
31.65064,9.16993,324.05,0.47,0.64,2024-02-01,0021,N20,VIIRS,n,2,277.16,2.19,N,2
31.65056,9.17121,316.62,0.5,0.65,2024-02-01,0201,N20,VIIRS,n,2,275.77,1.67,N,2
31.64794,9.16832,317.7,0.5,0.65,2024-02-01,0201,N20,VIIRS,n,2,275.47,1.61,N,2
31.00116,10.06222,295.25,0.61,0.54,2024-02-02,0142,N20,VIIRS,n,2,274.14,1.27,N,0
31.6475,9.16993,319.63,0.53,0.5,2024-02-02,0142,N20,VIIRS,n,2,276.2,2.63,N,2
31.6477,9.16843,324.42,0.53,0.5,2024-02-02,0142,N20,VIIRS,n,2,276.29,1.71,N,2
36.50304,10.02841,295.96,0.43,0.38,2024-02-03,0122,N20,VIIRS,n,2,279.15,0.74,N,2
36.59175,10.31941,304.97,0.44,0.38,2024-02-03,0122,N20,VIIRS,n,2,280.52,1.02,N,2
33.79453,8.82703,331.91,0.47,0.4,2024-02-03,1242,N20,VIIRS,n,2,295.74,3.82,D,0
36.50149,10.02525,302.37,0.37,0.58,2024-02-06,0026,N20,VIIRS,n,2,281.29,0.69,N,2
34.79867,10.83768,295.56,0.32,0.55,2024-02-06,0026,N20,VIIRS,n,2,280.6,0.45,N,0
31.65055,9.1692,310.28,0.38,0.59,2024-02-06,0027,N20,VIIRS,n,2,278.13,1.04,N,2
36.50121,10.02548,300.82,0.5,0.66,2024-02-06,0206,N20,VIIRS,n,2,281.2,0.99,N,2
36.58902,10.31722,299.3,0.52,0.67,2024-02-06,0206,N20,VIIRS,n,2,281.33,0.9,N,2
31.64894,9.17023,312.81,0.61,0.71,2024-02-06,0207,N20,VIIRS,n,2,277.06,1.75,N,2
31.64945,9.17267,296.92,0.61,0.71,2024-02-06,0207,N20,VIIRS,n,2,276.72,1.72,N,2
31.64894,9.17328,349.18,0.36,0.57,2024-02-06,1145,N20,VIIRS,n,2,296.32,2.41,D,2
31.65453,9.16545,307.15,0.72,0.76,2024-02-07,0008,N20,VIIRS,n,2,276.43,1.76,N,0
36.49913,10.02766,296.35,0.56,0.52,2024-02-07,0147,N20,VIIRS,n,2,280.81,1.35,N,0
31.48554,9.54021,295.15,0.35,0.56,2024-02-07,0149,N20,VIIRS,n,2,274.27,0.47,N,0
31.64788,9.17033,335.38,0.33,0.55,2024-02-07,0149,N20,VIIRS,n,2,279.61,1.95,N,2
34.76403,9.12508,339.4,0.55,0.68,2024-02-07,1127,N20,VIIRS,n,2,293.25,2.93,D,0
31.64564,9.17308,344.21,0.34,0.56,2024-02-07,1307,N20,VIIRS,n,2,298.77,1.55,D,2
36.50105,10.02752,298.55,0.49,0.4,2024-02-08,0128,N20,VIIRS,n,2,281.45,0.82,N,2
36.50209,10.02673,302.75,0.49,0.4,2024-02-08,0128,N20,VIIRS,n,2,282.57,0.95,N,2
36.3973,10.54106,300.49,0.52,0.41,2024-02-08,0128,N20,VIIRS,n,2,281.28,0.63,N,0
36.59171,10.31972,297.17,0.5,0.41,2024-02-08,0128,N20,VIIRS,n,2,283.18,0.69,N,2
31.64819,9.16888,325.71,0.54,0.42,2024-02-08,0130,N20,VIIRS,n,2,279.13,2,N,2
31.64612,9.17243,335.79,0.55,0.43,2024-02-08,1248,N20,VIIRS,n,2,299.64,3.51,D,2
31.64646,9.17389,337.58,0.55,0.43,2024-02-08,1248,N20,VIIRS,n,2,299.28,2.9,D,2
35.52576,9.94908,319.62,0.38,0.36,2024-02-09,0110,N20,VIIRS,n,2,281.62,1.59,N,0
36.59016,10.31594,301.1,0.38,0.36,2024-02-09,0110,N20,VIIRS,n,2,282.78,0.53,N,2
36.59296,8.50489,322.73,0.4,0.37,2024-02-09,0110,N20,VIIRS,n,2,273.04,1.78,N,0
31.64787,9.16979,326.99,0.38,0.36,2024-02-09,0111,N20,VIIRS,n,2,281.1,1.64,N,2
31.64823,9.1732,297.47,0.5,0.41,2024-02-10,0052,N20,VIIRS,n,2,269.28,0.53,N,2
35.6254,10.88118,343.25,0.38,0.44,2024-02-11,1152,N20,VIIRS,n,2,291.83,4.14,D,0
35.47215,8.35228,304.38,0.59,0.53,2024-02-12,0154,N20,VIIRS,n,2,270.56,6.59,N,0
35.47686,8.35371,336.1,0.59,0.53,2024-02-12,0154,N20,VIIRS,n,2,274.66,6.59,N,0
31.65115,9.17192,295.24,0.4,0.6,2024-02-12,0155,N20,VIIRS,n,2,278.45,0.84,N,2
31.00093,10.06014,295.11,0.47,0.64,2024-02-12,0155,N20,VIIRS,n,2,277.01,0.47,N,0
34.89237,9.07357,309.55,0.56,0.43,2024-02-13,0135,N20,VIIRS,n,2,282.8,1.21,N,0
34.89212,9.07198,307.78,0.56,0.43,2024-02-13,0135,N20,VIIRS,n,2,282.96,1.49,N,0
36.15868,10.28458,295.83,0.4,0.44,2024-02-13,0135,N20,VIIRS,n,2,283.8,0.69,N,2
31.64862,9.16887,306.41,0.43,0.46,2024-02-13,0136,N20,VIIRS,n,2,284.03,1.8,N,2
31.00239,10.06278,311.71,0.5,0.49,2024-02-13,0136,N20,VIIRS,n,2,282.54,1.74,N,0
33.3644,8.54975,334.53,0.43,0.46,2024-02-13,1255,N20,VIIRS,n,2,297.35,2.11,D,2
36.50081,10.0267,298.07,0.39,0.36,2024-02-14,0116,N20,VIIRS,n,2,282.32,0.58,N,2
36.59075,10.31844,304.39,0.4,0.37,2024-02-14,0116,N20,VIIRS,n,2,283.98,1.16,N,2
32.28772,10.97575,296.43,0.46,0.39,2024-02-14,0117,N20,VIIRS,n,2,278.44,0.56,N,0
31.64838,9.17074,324.64,0.41,0.37,2024-02-14,0117,N20,VIIRS,n,2,282.5,1.99,N,2
31.00325,10.06143,318.92,0.44,0.38,2024-02-14,0118,N20,VIIRS,n,2,279.9,1.9,N,0
31.64862,9.17386,335.79,0.41,0.37,2024-02-14,1235,N20,VIIRS,n,2,301.36,2.68,D,2
36.59037,10.31789,299.26,0.43,0.38,2024-02-15,0057,N20,VIIRS,n,2,280.48,0.68,N,2
36.50116,10.02815,303.05,0.44,0.39,2024-02-15,0057,N20,VIIRS,n,2,280.5,0.75,N,2
